시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202001,3,"50,000",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202001,4,"50,000",8,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202001,11,"41,000",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202001,11,"44,800",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202001,22,"44,900",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202002,1,"49,000",11,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202002,3,"49,000",8,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202002,14,"50,900",16,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202002,14,"49,000",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202002,23,"43,800",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202002,27,"41,750",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202002,27,"45,000",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202003,4,"42,500",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202003,16,"51,500",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202004,13,"50,000",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202004,13,"52,000",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202004,17,"43,000",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202005,16,"41,500",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202005,16,"49,200",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,2,"51,000",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202006,2,"43,000",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,6,"50,700",16,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,202006,8,"52,100",7,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202006,8,"43,200",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,12,"51,900",22,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,13,"53,500",17,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,13,"55,000",16,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202006,13,"53,700",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,13,"48,000",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202006,13,"53,000",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202006,16,"48,000",8,2012,도안북로 125,
