시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201601,16,33900,9,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201601,26,34850,13,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201601,30,33100,12,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201602,3,30800,1,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201602,3,31000,1,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201602,26,31450,2,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201603,8,34500,16,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201603,16,32700,2,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201604,5,34800,13,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201604,9,33700,10,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201604,10,34500,6,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201605,6,32400,5,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201605,13,35600,17,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201606,1,34700,6,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201606,4,33700,9,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201607,2,35800,22,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201607,25,35000,17,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201608,4,30800,1,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201608,22,33400,4,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201608,27,34850,5,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201609,12,35800,21,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201609,13,33850,20,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201609,19,31800,1,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201610,3,34700,5,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201610,11,33200,4,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201610,19,34300,20,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201611,2,35200,15,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201611,7,36000,20,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201611,8,34200,19,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201611,19,36000,13,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,1,34800,5,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,3,33500,3,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,3,33500,3,2012,도안북로 125
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201612,12,32500,1,2012,도안북로 125
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201602,2,32000,12,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,4,32000,10,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201603,10,34400,20,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,12,32000,5,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,23,31300,8,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201604,2,33900,13,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201604,3,32000,14,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201604,11,31500,15,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201605,2,35500,19,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201605,13,32500,1,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201605,14,32300,1,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201605,19,33600,19,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201605,21,34000,5,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201606,1,34000,5,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201606,8,32000,14,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201606,15,33700,16,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201606,18,33100,11,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,21,33000,4,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,25,33800,8,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,30,33800,20,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,6,34600,13,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,12,34300,10,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201608,27,33900,21,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201609,2,34200,3,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201609,10,43500,18,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201609,11,33800,4,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201609,22,33100,15,2014,원도안로 100
